attendees,month,day,hour,day_of_week,holiday,temp,temp_wb,rel_humidity,windspeed,precipitation
24310,1,11,17,Thu,0,85.8,45,93,9,1
24750,1,11,18,Thu,0,87.6,46,90,8,1
11660,1,11,19,Thu,0,87.6,46,90,10,1
9130,1,11,20,Thu,0,84,45,97,7,1
5170,1,11,21,Thu,0,82.2,44,96,7,1
4840,1,11,22,Thu,0,85.8,45,93,10,1
1760,1,11,23,Thu,0,85.8,45,93,15,1
1320,1,12,0,Fri,0,85.8,46,96,9,1
440,1,12,1,Fri,0,82.2,44,96,7,1
220,1,12,4,Fri,0,80.4,43,100,8,1
1210,1,12,5,Fri,0,80.4,43,100,6,1
5170,1,12,6,Fri,0,85.8,46,100,8,1
15400,1,12,7,Fri,0,82.2,44,100,8,1
34540,1,12,8,Fri,0,93,49,96,13,1
18040,1,12,9,Fri,0,96.6,52,100,13,1
8690,1,12,10,Fri,0,103.8,54,90,15,1
9900,1,12,11,Fri,0,111,57,84,31,1
7150,1,12,12,Fri,0,105.6,56,96,18,1
3960,1,12,13,Fri,0,105.6,57,100,21,0.075
4400,1,12,14,Fri,0,109.2,58,96,16,0.075
7260,1,12,15,Fri,0,109.2,58,96,22,0.125
16720,1,12,16,Fri,0,105.6,57,100,21,0.025
16500,1,12,17,Fri,0,105.6,57,100,14,1
6600,1,12,18,Fri,0,109.2,58,96,22,0.125
4180,1,12,19,Fri,0,111,60,100,17,0.175
4290,1,12,20,Fri,0,111,59,96,24,1
1980,1,12,21,Fri,0,107.4,57,97,36,0.4
1650,1,12,22,Fri,0,105.6,57,100,15,0.2
990,1,12,23,Fri,0,103.8,56,100,11,0.35
880,1,13,0,Sat,1,107.4,58,100,20,0.325
770,1,13,1,Sat,1,109.2,58,96,25,0.1
220,1,13,2,Sat,1,109.2,59,100,20,1.15
330,1,13,4,Sat,1,105.6,57,100,17,0.25
440,1,13,6,Sat,1,105.6,57,100,24,1
1430,1,13,7,Sat,1,107.4,57,93,34,1
4180,1,13,8,Sat,1,105.6,55,90,23,1
7150,1,13,9,Sat,1,107.4,55,84,25,1
5720,1,13,10,Sat,1,82.2,40,73,22,1
7480,1,13,11,Sat,1,73.2,35,67,21,1
7920,1,13,12,Sat,1,67.8,32,62,18,1
10450,1,13,13,Sat,1,64.2,29,56,21,1
7700,1,13,14,Sat,1,66,30,52,18,1
7150,1,13,15,Sat,1,62.4,28,52,15,1
6270,1,13,16,Sat,1,58.8,26,52,20,1
8140,1,13,17,Sat,1,55.2,24,54,17,1
6930,1,13,18,Sat,1,51.6,23,55,17,1
5280,1,13,19,Sat,1,48,21,55,18,1
2970,1,13,20,Sat,1,46.2,20,52,20,1
1430,1,13,21,Sat,1,44.4,19,55,14,1
1980,1,13,22,Sat,1,40.8,17,54,20,1
2530,1,13,23,Sat,1,37.2,16,57,18,1
1100,1,14,0,Sun,1,35.4,15,59,14,1
1320,1,14,1,Sun,1,33.6,14,56,17,1
550,1,14,2,Sun,1,31.8,13,59,17,1
440,1,14,3,Sun,1,31.8,13,56,15,1
110,1,14,4,Sun,1,30,12,56,16,1
440,1,14,5,Sun,1,30,12,51,16,1
220,1,14,6,Sun,1,28.2,11,51,15,1
440,1,14,7,Sun,1,28.2,11,47,15,1
3190,1,14,8,Sun,1,30,11,44,13,1
3190,1,14,9,Sun,1,31.8,12,43,13,1
5060,1,14,10,Sun,1,35.4,14,43,10,1
5280,1,14,11,Sun,1,37.2,15,43,7,1
6050,1,14,12,Sun,1,40.8,17,43,8,1
6710,1,14,13,Sun,1,40.8,17,50,7,1
4180,1,14,14,Sun,1,42.6,18,46,8,1
4730,1,14,15,Sun,1,44.4,18,44,7,1
4510,1,14,16,Sun,1,40.8,17,45,7,1
5060,1,14,17,Sun,1,40.8,17,45,8,1
4400,1,14,18,Sun,1,39,15,40,11,1
2750,1,14,19,Sun,1,37.2,15,41,11,1
2640,1,14,20,Sun,1,33.6,13,45,9,1
2970,1,14,21,Sun,1,33.6,13,47,11,1
1650,1,14,22,Sun,1,31.8,13,51,13,1
990,1,14,23,Sun,1,31.8,13,56,13,1
660,1,15,0,Mon,0,31.8,14,65,14,1
330,1,15,1,Mon,0,31.8,14,67,15,1
330,1,15,2,Mon,0,31.8,14,67,16,1
110,1,15,5,Mon,0,28.2,12,73,16,1
1210,1,15,6,Mon,0,26.4,11,74,14,1
3630,1,15,7,Mon,0,26.4,12,77,14,1
5390,1,15,8,Mon,0,24.6,11,80,17,1
5280,1,15,9,Mon,0,28.2,12,73,18,1
4730,1,15,10,Mon,0,30,13,70,16,1
4620,1,15,11,Mon,0,31.8,14,67,11,1
4180,1,15,12,Mon,0,31.8,14,65,14,1
3080,1,15,13,Mon,0,31.8,14,65,13,1
3960,1,15,14,Mon,0,33.6,14,56,11,1
4840,1,15,15,Mon,0,35.4,15,54,11,1
4840,1,15,16,Mon,0,37.2,15,51,13,1
6930,1,15,17,Mon,0,39,16,45,14,1
7920,1,15,18,Mon,0,39,16,48,11,1
6160,1,15,19,Mon,0,39,16,45,11,1
4400,1,15,20,Mon,0,39,16,52,10,1
2640,1,15,21,Mon,0,39,17,60,8,1
1650,1,15,22,Mon,0,39,17,62,11,1
1760,1,15,23,Mon,0,39,17,62,11,1
880,1,16,0,Tue,0,40.8,18,65,10,1
110,1,16,2,Tue,0,40.8,19,71,6,1
330,1,16,4,Tue,0,40.8,19,71,6,1
1430,1,16,5,Tue,0,40.8,19,74,3,1
5390,1,16,6,Tue,0,42.6,20,75,5,1
14740,1,16,7,Tue,0,42.6,20,78,6,1
28490,1,16,8,Tue,0,48,23,81,0,1
15070,1,16,9,Tue,0,51.6,25,75,0,1
8030,1,16,10,Tue,0,51.6,25,78,5,1
6050,1,16,11,Tue,0,57,27,69,3,1
8250,1,16,12,Tue,0,58.8,28,67,5,1
6050,1,16,13,Tue,0,60.6,29,69,5,1
6600,1,16,14,Tue,0,60.6,29,69,5,1
9020,1,16,15,Tue,0,60.6,29,73,3,1
19030,1,16,16,Tue,0,58.8,29,82,5,1
30580,1,16,17,Tue,0,58.8,29,82,7,1
22880,1,16,18,Tue,0,60.6,30,82,5,1
13970,1,16,19,Tue,0,60.6,30,79,6,1
7590,1,16,20,Tue,0,60.6,30,82,7,1
3740,1,16,21,Tue,0,60.6,30,82,7,1
3080,1,16,22,Tue,0,60.6,30,82,7,1
1650,1,16,23,Tue,0,58.8,30,85,6,1
990,1,17,0,Wed,0,60.6,31,85,6,1
330,1,17,1,Wed,0,60.6,31,85,3,1
110,1,17,2,Wed,0,60.6,31,85,6,1
110,1,17,3,Wed,0,60.6,30,82,6,1
440,1,17,4,Wed,0,60.6,31,85,5,1
1540,1,17,5,Wed,0,60.6,31,88,3,1
6270,1,17,7,Wed,0,60.6,32,100,5,0.075
9900,1,17,8,Wed,0,60.6,32,100,5,0.075
7920,1,17,9,Wed,0,62.4,33,96,6,0.125
3080,1,17,10,Wed,0,62.4,33,100,5,0.05
3080,1,17,11,Wed,0,62.4,33,96,7,0.025
3960,1,17,12,Wed,0,62.4,33,100,7,1
2640,1,17,13,Wed,0,62.4,33,96,9,0.025
3190,1,17,14,Wed,0,62.4,33,96,6,0.025
6050,1,17,15,Wed,0,62.4,32,92,7,1
10010,1,17,16,Wed,0,62.4,32,92,7,1
17050,1,17,17,Wed,0,60.6,32,96,7,1
13970,1,17,18,Wed,0,60.6,32,96,8,1
9130,1,17,19,Wed,0,60.6,31,92,7,0.025
6710,1,17,20,Wed,0,60.6,31,88,8,1
4180,1,17,21,Wed,0,60.6,31,88,9,1
2750,1,17,22,Wed,0,60.6,31,92,10,1
1760,1,17,23,Wed,0,60.6,31,85,9,1
990,1,18,0,Thu,0,58.8,30,85,11,1
550,1,18,1,Thu,0,57,28,82,10,1
220,1,18,2,Thu,0,53.4,26,78,11,1
330,1,18,3,Thu,0,49.8,24,81,14,1
330,1,18,4,Thu,0,46.2,22,75,13,1
1320,1,18,5,Thu,0,44.4,21,72,6,1
3740,1,18,6,Thu,0,46.2,21,68,7,1
12430,1,18,7,Thu,0,40.8,19,74,13,1
27610,1,18,8,Thu,0,44.4,20,68,5,1
15950,1,18,9,Thu,0,48,22,63,8,1
9130,1,18,10,Thu,0,49.8,23,63,9,1
6050,1,18,11,Thu,0,53.4,24,60,11,1
11330,1,18,12,Thu,0,57,26,58,13,1
6600,1,18,13,Thu,0,57,26,58,14,1
6050,1,18,14,Thu,0,57,26,56,13,1
8580,1,18,15,Thu,0,57,26,56,13,1
18370,1,18,16,Thu,0,55.2,25,58,10,1
28050,1,18,17,Thu,0,55.2,25,58,10,1
19470,1,18,18,Thu,0,53.4,24,60,13,1
10340,1,18,19,Thu,0,53.4,24,60,10,1
7590,1,18,20,Thu,0,49.8,23,66,10,1
5720,1,18,21,Thu,0,49.8,23,66,13,1
3960,1,18,22,Thu,0,48,22,69,11,1
1650,1,18,23,Thu,0,48,22,69,13,1
1210,1,19,0,Fri,0,46.2,22,71,10,1
770,1,19,1,Fri,0,44.4,21,72,13,1
440,1,19,2,Fri,0,44.4,21,72,10,1
110,1,19,3,Fri,0,46.2,21,68,11,1
330,1,19,4,Fri,0,46.2,21,68,14,1
1540,1,19,5,Fri,0,46.2,22,71,13,1
4400,1,19,6,Fri,0,48,22,69,10,1
16280,1,19,7,Fri,0,48,23,72,13,1
28820,1,19,8,Fri,0,51.6,24,69,8,1
18700,1,19,9,Fri,0,53.4,25,66,11,1
8030,1,19,10,Fri,0,57,26,64,9,1
8910,1,19,11,Fri,0,58.8,27,61,10,1
10120,1,19,12,Fri,0,60.6,28,61,6,1
9020,1,19,13,Fri,0,62.4,28,56,8,1
9460,1,19,14,Fri,0,62.4,29,58,9,1
12210,1,19,15,Fri,0,62.4,29,61,7,1
21780,1,19,16,Fri,0,62.4,29,61,5,1
26400,1,19,17,Fri,0,64.2,29,59,5,1
19360,1,19,18,Fri,0,62.4,29,61,0,1
9900,1,19,19,Fri,0,62.4,29,61,11,1
7040,1,19,20,Fri,0,60.6,28,64,10,1
3190,1,19,21,Fri,0,58.8,27,64,11,1
3520,1,19,22,Fri,0,57,27,66,10,1
1540,1,19,23,Fri,0,57,26,64,13,1
2200,1,20,0,Sat,1,57,26,64,10,1
330,1,20,1,Sat,1,60.6,28,61,13,1
660,1,20,2,Sat,1,60.6,28,61,11,1
220,1,20,3,Sat,1,60.6,28,64,11,1
550,1,20,4,Sat,1,60.6,28,64,11,1
110,1,20,5,Sat,1,64.2,30,61,17,1
110,1,20,6,Sat,1,64.2,30,64,16,1
2090,1,20,7,Sat,1,67.8,31,59,21,1
3960,1,20,8,Sat,1,71.4,32,55,21,1
7260,1,20,9,Sat,1,76.8,34,49,17,1
7480,1,20,10,Sat,1,82.2,36,43,17,1
9900,1,20,11,Sat,1,84,37,44,23,1
11220,1,20,12,Sat,1,85.8,38,44,17,1
13200,1,20,13,Sat,1,85.8,38,46,16,1
13420,1,20,14,Sat,1,85.8,38,47,15,1
14850,1,20,15,Sat,1,87.6,39,46,16,1
11770,1,20,16,Sat,1,85.8,38,47,14,1
11000,1,20,17,Sat,1,82.2,37,51,11,1
7920,1,20,18,Sat,1,80.4,37,53,11,1
5940,1,20,19,Sat,1,80.4,37,53,10,1
4070,1,20,20,Sat,1,78.6,36,58,11,1
5830,1,20,21,Sat,1,78.6,36,58,10,1
4510,1,20,22,Sat,1,76.8,36,60,11,1
3300,1,20,23,Sat,1,78.6,36,58,9,1
2640,1,21,0,Sun,1,76.8,36,60,10,1
3740,1,21,1,Sun,1,75,35,63,8,1
1650,1,21,2,Sun,1,75,36,65,8,1
440,1,21,3,Sun,1,69.6,34,73,5,1
550,1,21,4,Sun,1,67.8,33,76,8,1
330,1,21,5,Sun,1,67.8,33,76,0,1
880,1,21,6,Sun,1,71.4,34,70,5,1
1430,1,21,7,Sun,1,75,36,65,7,1
3410,1,21,8,Sun,1,76.8,36,62,8,1
6820,1,21,9,Sun,1,80.4,38,60,7,1
8910,1,21,10,Sun,1,84,39,58,6,1
11110,1,21,11,Sun,1,87.6,40,54,6,1
14740,1,21,12,Sun,1,89.4,40,50,7,1
14410,1,21,13,Sun,1,89.4,40,50,7,1
18590,1,21,14,Sun,1,91.2,41,46,6,1
17050,1,21,15,Sun,1,87.6,40,52,8,1
10450,1,21,16,Sun,1,85.8,39,51,5,1
9680,1,21,17,Sun,1,85.8,39,51,6,1
10670,1,21,18,Sun,1,73.2,35,67,3,1
8140,1,21,19,Sun,1,67.8,34,79,7,1
5720,1,21,20,Sun,1,71.4,35,73,5,1
5610,1,21,21,Sun,1,67.8,34,79,6,1
3190,1,21,22,Sun,1,67.8,34,79,3,1
2310,1,21,23,Sun,1,67.8,34,79,5,1
1870,1,22,0,Mon,0,66,33,82,0,1
550,1,22,1,Mon,0,66,34,89,6,1
110,1,22,2,Mon,0,66,33,85,3,1
330,1,22,4,Mon,0,67.8,35,89,3,1
1980,1,22,5,Mon,0,66,34,93,6,1
5940,1,22,6,Mon,0,66,34,93,3,1
13750,1,22,7,Mon,0,66,34,93,0,1
20240,1,22,8,Mon,0,67.8,35,93,0,0.025
10120,1,22,9,Mon,0,67.8,36,97,3,0.05
4400,1,22,10,Mon,0,67.8,36,97,0,0.05
5940,1,22,11,Mon,0,67.8,36,97,3,1
6930,1,22,12,Mon,0,69.6,37,96,8,1
7920,1,22,13,Mon,0,71.4,37,93,5,1
7920,1,22,14,Mon,0,71.4,37,93,9,1
8910,1,22,15,Mon,0,71.4,37,93,7,1
17710,1,22,16,Mon,0,71.4,38,97,11,1
27390,1,22,17,Mon,0,71.4,38,97,11,1
21670,1,22,18,Mon,0,73.2,39,96,9,1
13310,1,22,19,Mon,0,73.2,39,96,7,1
6820,1,22,20,Mon,0,71.4,38,100,5,0.025
6710,1,22,21,Mon,0,71.4,38,100,6,1
4070,1,22,22,Mon,0,71.4,38,100,5,1
2200,1,22,23,Mon,0,73.2,39,100,6,1
1100,1,23,0,Tue,0,73.2,39,96,7,1
220,1,23,1,Tue,0,73.2,39,100,7,1
330,1,23,2,Tue,0,66,35,100,8,1
110,1,23,3,Tue,0,64.2,34,97,9,1
220,1,23,4,Tue,0,62.4,33,100,8,1
2200,1,23,5,Tue,0,60.6,32,100,6,1
5170,1,23,6,Tue,0,60.6,32,100,5,1
14850,1,23,7,Tue,0,60.6,32,100,5,0.025
25740,1,23,8,Tue,0,62.4,33,100,3,1
12100,1,23,9,Tue,0,62.4,33,100,6,0.1
3080,1,23,10,Tue,0,64.2,34,100,5,0.225
1100,1,23,11,Tue,0,67.8,36,97,6,0.8
1650,1,23,12,Tue,0,67.8,36,100,3,0.55
1100,1,23,13,Tue,0,71.4,38,97,6,0.55
2420,1,23,14,Tue,0,98.4,53,100,24,0.5
3190,1,23,15,Tue,0,102,54,96,13,0.3
12760,1,23,16,Tue,0,93,49,96,18,0.025
19800,1,23,17,Tue,0,73.2,39,96,9,1
17270,1,23,18,Tue,0,73.2,39,96,7,1
11000,1,23,19,Tue,0,73.2,38,93,11,0.075
8140,1,23,20,Tue,0,78.6,41,92,10,1
6820,1,23,21,Tue,0,80.4,41,86,13,1
3960,1,23,22,Tue,0,80.4,40,76,17,1
2310,1,23,23,Tue,0,78.6,39,73,13,1
550,1,24,0,Wed,0,75,37,77,13,1
770,1,24,1,Wed,0,69.6,35,86,8,1
220,1,24,3,Wed,0,67.8,34,86,11,1
440,1,24,4,Wed,0,69.6,35,86,14,1
2200,1,24,5,Wed,0,71.4,36,79,14,1
6270,1,24,6,Wed,0,71.4,35,76,15,1
19470,1,24,7,Wed,0,73.2,34,62,20,1
38060,1,24,8,Wed,0,73.2,34,60,17,1
20900,1,24,9,Wed,0,69.6,33,62,17,1
12430,1,24,10,Wed,0,69.6,32,59,18,1
10010,1,24,11,Wed,0,71.4,32,55,14,1
12430,1,24,12,Wed,0,69.6,31,52,15,1
10010,1,24,13,Wed,0,71.4,32,51,16,1
9900,1,24,14,Wed,0,71.4,31,46,14,1
12980,1,24,15,Wed,0,69.6,30,46,16,1
23210,1,24,16,Wed,0,67.8,30,48,15,1
31900,1,24,17,Wed,0,64.2,28,50,10,1
20900,1,24,18,Wed,0,60.6,26,45,14,1
15070,1,24,19,Wed,0,58.8,26,52,13,1
9570,1,24,20,Wed,0,57,24,43,17,1
6930,1,24,21,Wed,0,55.2,23,43,16,1
4840,1,24,22,Wed,0,51.6,22,49,18,1
2310,1,24,23,Wed,0,46.2,20,52,15,1
1100,1,25,0,Thu,0,44.4,19,48,11,1
550,1,25,1,Thu,0,42.6,18,50,11,1
330,1,25,2,Thu,0,40.8,17,52,11,1
330,1,25,3,Thu,0,40.8,17,54,8,1
220,1,25,4,Thu,0,40.8,18,57,8,1
1870,1,25,5,Thu,0,40.8,18,57,8,1
